Lexicon
broooolarab (/bⱱ̟ɯː.ʎ̯ɑ.ⱱ̟ä̆b/)
oogalo (/ɨ.ɢɐ.ɺɯ̞̆/)
	 n. pot
oooodar (/ɨː.dä̆ⱱ̟/)
	 n. support
ooooldolla (/ɨːʟ̠̆.ɖɤ̆.ʟ̠̆ɺɜ/)
	 n. light
oooolgaalulolg (/ɨːʟ̠̆.ɢɑː.ʎ̯ɘ.ʟ̠̆ɯ̞ɺɢ/)
	 n. collar
oooolallaer (/ɨː.ʟ̠̆ɶ̆.ɺɺ̢œ̞̆ø̞̯̆ⱱ̟/)
	 n. prose
iblugoogiil (/y̆.b̪ɺɘ̆.ɟɯ̆.ɢyʏ̟̯ʎ̯/)
	 n. weight
ilborbee (/y̆ɺ̢.b̪ɤⱱ̟.b̪œː/)
	 n. meal
ililbulgo (/y̆.ʟ̠̆yɺ.b̪ɘʟ̠̆.ɟɤ̞/)
	 n. unit
iliibo (/y̆.ʟ̠̆yː.bɤ̞/)
	 n. polish
irararg (/y.ⱱ̟ä.ⱱ̟œ̞̆ⱱ̟ɢ/)
	 n. rain
ib (/yb̪/)
	 n. number
ilooblui (/y.ʎ̯ɨ̆.b̪ɺɘ.y/)
	 n. heat
iir (/yːⱱ̟/)
	 n. steam
iiri (/yː.ⱱ̟y̆/)
	 n. office
iiguualb (/yː.ɢəː.ä̆ɺ̢b/)
	 n. balance
o (/ɯ̞̆/)
	 n. mountain
or (/ɯ̞̆ⱱ̟/)
	 n. pin
olaagoo (/ɯ̞̆.ɺɐː.ɟɯ̆/)
	 n. expansion
ol (/ɯ̞̆ɺ̢/)
	 n. winter
oldiil (/ɯ̞̆ʎ̯.ɖyːʏ̟ː̯ɺ̢/)
	 n. voice
ooloo (/ɯ̞̆.ʌ̆.ʟ̠̆ɪ̈/)
	 n. industry
orluug (/ɯ̞.ⱱ̟ʟ̠̆əːɢ/)
	 n. division
oriibel (/ɯ̞.ⱱ̟ʏ̟ː.bø̞̆ʟ̠̆/)
	 n. fly
ore (/ɯ̞.ⱱ̟ø/)
	 n. letter
olle (/ɯ̞.ɺ̢ʎ̯ø̆/)
	 n. boat
oeelooooblal (/ɯ̞.øː.ɺ̢ɨː.bʟ̠̆ʌ̞̆ʟ̠̆/)
	 n. error
ooblaabluulg (/ɯ̞ː.bɺʌ̞ː.bɺ̢ɘːɺ̢ɢ/)
	 n. station
oorolgel (/ɯ̞ː.ⱱ̟ɯ̞̆ɺ̢.ɟøɺ/)
	 n. canvas
ooboooo (/ɯ̞ː.b̪ɪ̈ː/)
	 n. chalk
oolol (/ɯ̞ː.ɺ̢ɤʟ̠̆/)
	 n. cushion
oolrea (/ɯ̞ː.ʟ̠̆ⱱ̟ø.ɑ/)
	 n. education
ooloo (/ɯ̞ː.ʟ̠̆ɨ̆/)
	 n. sock
oolloollooolb (/ɪ̈̆.ʎ̯ʟ̠̆ɯ.ɺʟ̠̆ɯ̞.ɨ̆ɺb/)
	 n. bite
oodloooolooooluub (/ɪ̈.ɖʟ̠̆ɪ̈ː.ʟ̠̆ɯː.ɺəːb/)
	 n. ink
ooiruug (/ɪ̈.y.ⱱ̟ɘːɟ/)
	 n. slope
oooorubreed (/ɪ̈ː.ⱱ̟ɘ.b̪ⱱ̟øːd/)
	 n. thunder
ooooliralel (/ɪ̈ː.ʎ̯ʏ̟̆.ⱱ̟ä̆.ɺ̢ø̞̆ʟ̠̆/)
	 n. wood
oooogrubral (/ɪ̈ː.ɢⱱ̟ɘ.b̪ⱱ̟ɑ̆ʎ̯/)
	 n. edge
oooogloolag (/ɪ̈ː.ɢʎ̯ɪ̈.ʟ̠̆œ̞̆ɢ/)
	 n. shelf
ooooellaa (/ɪ̈ː.œ̆.ɺ̢ɺäː/)
	 n. fiction
ooooaal (/ɪ̈ː.ʌ̞ːʟ̠̆/)
	 n. tax
ib (/ʏ̟̆b/)
	 n. church
ib (/ʏ̟̆b̪/)
	 n. authority
idlaaaa (/ʏ̟̆.dʎ̯ɶː.äː/)
	 n. store
ioooob (/ʏ̟̆.ɪ̈ːb̪/)
	 n. act
ilelberoo (/ʏ̟.ʎ̯œʟ̠̆.b̪ø̆.ⱱ̟ɯ̆/)
	 n. blood
igoooa (/ʏ̟.ɢʌː.ɯ̞œ̞̯/)
	 n. reason
il (/ʏ̟ʟ̠̆/)
	 n. month
ialloboorg (/ʏ̟.ɜ̆.ʎ̯ʎ̯ɤ̆.bʌːⱱ̟ɟ/)
	 n. arm
ielool (/ʏ̟.œ̆.ɺ̢ɪ̈ʎ̯/)
	 n. impulse
iaagoolig (/ʏ̟.œ̞ː.ɟʌː.ʎ̯ʏ̟ɟ/)
	 n. ticket
iiblaal (/ʏ̟ː.bɺ̢ɐːɺ̢/)
	 n. money
iida (/ʏ̟ː.dɶ̆/)
	 n. pleasure
iigoulglolb (/ʏ̟ː.ɢɯ̞̆.ə̆ʎ̯.ɢɺ̢ɤ̞̆ʟ̠̆b/)
	 n. plane
o (/ɤ̆/)
	 n. government
oba (/ɤ̆.b̪œ̞/)
	 n. writing
oogaa (/ɤ̆.ɤ.ɟɶː/)
	 n. smile
o (/ɤ/)
	 n. coal
oraa (/ɤ.ⱱ̟ɑː/)
	 n. sponge
ollalaal (/ɤ.ɺ̢ɺ̢ɶ.ʎ̯ɑːʟ̠̆/)
	 n. amusement
olooleel (/ɤ.ɺ̢ʌː.ʎ̯øːʟ̠̆/)
	 n. reaction
oaallar (/ɤ.ʌ̞ː.ʎ̯ʟ̠̆ʌ̞ⱱ̟/)
	 n. sex
oodaal (/ɤː.ɖɑ.äɺ/)
	 n. fork
oolb (/ɤːʎ̯b̪/)
	 n. bread
oolla (/ɤː.ʟ̠̆ɺ̢ä̆/)
	 n. soap
udri (/ɘ̆.dⱱ̟y/)
	 n. prison
ulallaalor (/ɘ̆.ɺɶ̆.ʟ̠̆ɺʌ̞ː.ʎ̯ɯ̞ⱱ̟/)
	 n. cart
ul (/ɘ̆ɺ̢/)
	 n. garden
ulgliilee (/ɘ̆ʎ̯.ɢɺyʏ̟̯.ʟ̠̆øː/)
	 n. ship
uluu (/ɘ̆.ʟ̠̆ɘː/)
	 n. bridge
uoolal (/ɘ̆.ɯ̞ː.ɺä̆ʟ̠̆/)
	 n. danger
ualee (/ɘ̆.ɑ.ɺ̢ø̞ː/)
	 n. hole
urbeeolglaa (/ɘⱱ̟.bœː.ɤ̞̆ʎ̯.ɢɺ̢œ̞ː/)
	 n. table
uleoooolbled (/ɘ.ɺø̞̆.ɪ̈ːɺ.bʎ̯ø̞d/)
	 n. drain
ulbodoooode (/ɘɺ̢.bɯ̞̆.dɨː.ɖœ/)
	 n. liquid
uol (/ɘ.ɯ̞ʎ̯/)
	 n. watch
uaagola (/ɘ.ʌ̞ː.ɟʌ̆.ʎ̯ɑ̆/)
	 n. morning
uu (/ɘː/)
	 n. color
uudlo (/ɘː.ɖɺɯ̞̆/)
	 n. father
uulgud (/ɘːʟ̠̆.ɟɘ̆d/)
	 n. fold
e (/ø̆/)
	 n. market
ebi (/ø̆.b̪ʏ̟̆/)
	 n. blow
ed (/ø̆d/)
	 n. powder
edilba (/ø̆.dʏ̟ʎ̯.bɜ̆/)
	 n. trick
eludaal (/ø̆.ɺɘ.ɖäːɺ̢/)
	 n. growth
e (/ø/)
	 n. fact
elbeeb (/øɺ.bøːb̪/)
	 n. body
elboalrorbla (/øɺ.bɯ̞œ̞̯.ʎ̯ⱱ̟ɤ̆ⱱ̟.bʎ̯ɶ/)
	 n. addition
edud (/ø.ɖə̆ɖ/)
	 n. nail
eloo (/ø.ɺ̢ɤ̞ː/)
	 n. burst
el (/øʎ̯/)
	 n. lead
eollaer (/ø.ɤ.ɺ̢ɺ̢œ̞̆ø̞̯̆ⱱ̟/)
	 n. property
eebialoo (/øː.bʏ̟̆.ɐ̆.ɺɤː/)
	 n. company
eereeld (/øː.ⱱ̟œːɺ̢d/)
	 n. purpose
eede (/øː.ɖø/)
	 n. pencil
eelgoolg (/øːɺ̢.ɢɪ̈̆ʟ̠̆ɢ/)
	 n. poison
eel (/øːʎ̯/)
	 n. parcel
eelbaaldalge (/øːʎ̯.b̪äːɺ.dɑ̆ɺ.ɟœ̆/)
	 n. knee
orolg (/ɤ̞̆.ⱱ̟ɤ̆ʎ̯ɢ/)
	 n. dog
odleae (/ɤ̞̆.dɺø̞̆.œ̞̆ø̞̯̆/)
	 n. shade
ol (/ɤ̞̆ɺ̢/)
	 n. word
olela (/ɤ̞̆.ʎ̯œ.ɺ̢ɑ/)
	 n. servant
olaal (/ɤ̞̆.ʎ̯œ̞ːʟ̠̆/)
	 n. hospital
o (/ɤ̞/)
	 n. society
og (/ɤ̞ɟ/)
	 n. reward
oo (/ɤ̞ː/)
	 n. trade
oob (/ɤ̞ːb/)
	 n. news
oolblalaad (/ɤ̞ːɺ.bʎ̯ʌ̞̆.ɺɜːd/)
	 n. condition
oolilael (/ɤ̞ː.ɺy̆.ɺ̢œ̞̆ø̞̯̆ʎ̯/)
	 n. debt
ood (/ɤ̞ːɖ/)
	 n. lip
oolalroolae (/ɤ̞ː.ɺ̢ɶ.ɺ̢ⱱ̟ɯ̆.ʟ̠̆œ̞̆ø̞̯̆/)
	 n. basin
oogralbla (/ɤ̞ː.ɟⱱ̟ɶ̆ɺ.b̪ʎ̯ɜ̆/)
	 n. death
u (/ə̆/)
	 n. cord
	 n. trouble
udob (/ə̆.dɯ̞̆b̪/)
	 n. argument
ulaalloolb (/ə̆.ɺœ̞.ɜ.ɺɺ̢ɤ̞ːɺ̢b/)
	 n. cork
ula (/ə̆.ɺɶ/)
	 n. move
uua (/ə̆.ə̆.ɶ/)
	 n. work
ubluur (/ə.b̪ɺɘːⱱ̟/)
	 n. expert
ulad (/ə.ɺɑ̆ɖ/)
	 n. pump
ulbedarla (/əɺ̢.bø̆.ɖɶ.ⱱ̟ɺɶ̆/)
	 n. earth
ulaaree (/ə.ʟ̠̆ɜː.ⱱ̟ø̞ː/)
	 n. limit
uulolaalral (/əː.ɺ̢ɤ̆.ɺ̢œ̞ː.ɺⱱ̟ɑɺ/)
	 n. start
uuladi (/əː.ɺ̢ä.dʏ̟/)
	 n. owner
uuag (/əː.ʌ̞ɟ/)
	 n. scale
e (/ø̞̆/)
	 n. committee
elgodeeaa (/ø̞̆ɺ.ɟɯ̞.ɖøː.ɐː/)
	 n. request
ed (/ø̞̆ɖ/)
	 n. flight
erle (/ø̞.ⱱ̟ɺø̞/)
	 n. sound
erlaldoold (/ø̞.ⱱ̟ɺɜɺ.ɖɯ̆ɺɖ/)
	 n. way
eruuag (/ø̞.ⱱ̟əː.ɑ̆ɢ/)
	 n. harmony
eluuliilloolg (/ø̞.ɺ̢ɘː.ʎ̯yːʏ̟ː̯.ʎ̯ʎ̯ʌːʎ̯ɢ/)
	 n. attack
egroobil (/ø̞.ɢⱱ̟ɤ̞ː.b̪yʟ̠̆/)
	 n. clock
egudloooal (/ø̞.ɢɘ.dʟ̠̆ɪ̈.ɯ̞œ̞̯ɺ̢/)
	 n. brake
eoooolrobli (/ø̞.ɯː.ʟ̠̆ⱱ̟ʌ.b̪ʟ̠̆ʏ̟̆/)
	 n. silk
ee (/ø̞ː/)
	 n. disgust
	 n. grain
eebegluul (/ø̞ː.b̪ø̆.ɢɺəːɺ̢/)
	 n. plate
eeg (/ø̞ːɢ/)
	 n. kick
eeloodlaeg (/ø̞ː.ʟ̠̆ɯ̆.dʎ̯œ̞̆ø̞̯̆ɢ/)
	 n. push
eelooooool (/ø̞ː.ʟ̠̆ɯ.ɪ̈ːɺ̢/)
	 n. price
oliilgool (/ʌ̆.ʎ̯yːɺ̢.ɢɪ̈ʟ̠̆/)
	 n. ornament
olug (/ʌ̆.ʟ̠̆ɘɢ/)
	 n. wing
oooloogiirg (/ʌ̆.ɪ̈.ʎ̯ʌː.ɢʏ̟ːⱱ̟ɢ/)
	 n. button
olalul (/ʌ.ɺʌ̞̆.ɺ̢əʎ̯/)
	 n. direction
ooroooo (/ʌː.ⱱ̟ɯː/)
	 n. square
oolglii (/ʌːʎ̯.ɟɺ̢yʏ̟̯/)
	 n. daughter
ooloo (/ʌː.ʎ̯ɤː/)
	 n. need
ooaadoolii (/ʌː.ʌ̞ː.ɖʌː.ʟ̠̆yʏ̟̯/)
	 n. detail
arlaalab (/ɜ̆.ⱱ̟ʎ̯äː.ʟ̠̆ɐb/)
	 n. bee
aleeld (/ɜ̆.ɺøːɺ̢d/)
	 n. board
aloooolooool (/ɜ̆.ɺ̢ɨː.ʟ̠̆ɯːɺ/)
	 n. agreement
alaalu (/ɜ̆.ɺ̢ɶː.ʎ̯ə/)
	 n. mark
alol (/ɜ̆.ʟ̠̆ɤɺ̢/)
	 n. water
a (/ɜ/)
	 n. sign
albag (/ɜɺ.b̪œ̞ɟ/)
	 n. sky
aloloig (/ɜ.ɺɤ̆.ɺ̢ɤ.yɢ/)
	 n. hand
aloordlael (/ɜ.ɺ̢ɤːⱱ̟.dɺ̢œ̞̆ø̞̯̆ɺ/)
	 n. step
agaoblo (/ɜ.ɟʌ̞.ɤ̞.bʟ̠̆ɯ̞/)
	 n. religion
agaiig (/ɜ.ɟä.yːɢ/)
	 n. plow
aldrulolb (/ɜʟ̠̆.ɖⱱ̟ɘ̆.ʎ̯ɤ̞ɺ̢b̪/)
	 n. kettle
aoo (/ɜ.ɪ̈/)
	 n. degree
aaalaalgul (/ɜ.äː.ʎ̯äːɺ̢.ɟə̆ʎ̯/)
	 n. branch
aal (/ɜːɺ/)
	 n. heart
aalloollelig (/ɜː.ɺɺɨ̆.ʎ̯ʟ̠̆ø̞̆.ʎ̯yɢ/)
	 n. bulb
aaldloordlarlir (/ɜːɺ̢.dɺɯ̞ːⱱ̟.dʟ̠̆ʌ̞.ⱱ̟ɺ̢ʏ̟̆ⱱ̟/)
	 n. smell
aalg (/ɜːʎ̯ɢ/)
	 n. picture
aalal (/ɜː.ʎ̯ɑ̆ɺ̢/)
	 n. mind
aalaroolgaad (/ɜː.ʟ̠̆ä̆.ⱱ̟ɪ̈̆ʎ̯.ɢɜːɖ/)
	 n. design
aai (/ɜː.ʏ̟/)
	 n. umbrella
ebod (/œ̆.bɤ̆d/)
	 n. nerve
elloraaloo (/œ̆.ɺɺɤ.ⱱ̟ʌ̞ː.ʟ̠̆ɨ/)
	 n. leg
elard (/œ̆.ɺʌ̞̆ⱱ̟d/)
	 n. experience
elalaad (/œ̆.ɺɐ̆.ɺ̢ɶːɖ/)
	 n. man
eglillod (/œ̆.ɟʎ̯ʏ̟̆.ɺʎ̯ɤɖ/)
	 n. teaching
eglaareeblalg (/œ̆.ɢʎ̯œ̞ː.ⱱ̟øː.b̪ʎ̯ʌ̞̆ʎ̯ɢ/)
	 n. oven
euudaldlal (/œ̆.ɘː.dɶ̆ʎ̯.ɖʎ̯äʎ̯/)
	 n. army
eeed (/œ̆.œːɖ/)
	 n. rice
eriiliii (/œ.ⱱ̟yʏ̟̯.ɺyːʏ̟ː̯.y̆/)
	 n. operation
edoo (/œ.dɯ̆/)
	 n. walk
elleelag (/œ.ɺʎ̯œː.ʟ̠̆ɜɟ/)
	 n. kiss
elarbiirooool (/œ.ʎ̯œ̞ⱱ̟.byʏ̟̯.ⱱ̟ɯːɺ̢/)
	 n. spade
elgobloolaelb (/œʟ̠̆.ɟɯ̞.b̪ʟ̠̆ɯ̆.ʟ̠̆œ̞̆ø̞̯̆ʎ̯b/)
	 n. chin
arbeleloo (/ʌ̞̆ⱱ̟.b̪ø̞̆.ɺø̞.ɺɤː/)
	 n. verse
adi (/ʌ̞̆.ɖʏ̟/)
	 n. road
al (/ʌ̞̆ɺ̢/)
	 n. land
aloo (/ʌ̞̆.ʟ̠̆ɨ/)
	 n. view
a (/ʌ̞/)
	 n. ray
	 n. stem
alaagadiild (/ʌ̞.ɺɑː.ɢɑ̆.ɖyːʟ̠̆d/)
	 n. respect
algooooeerg (/ʌ̞ʎ̯.ɟɨː.ø̞ːⱱ̟ɢ/)
	 n. hate
aa (/ʌ̞ː/)
	 n. cough
	 n. hope
aalliilaael (/ʌ̞ː.ɺɺyːʏ̟ː̯.ɺœ̞ː.ø̞̆ɺ̢/)
	 n. test
aalaor (/ʌ̞ː.ɺɜ.ɯ̞̆ⱱ̟/)
	 n. page
aalurgu (/ʌ̞ː.ɺ̢əⱱ̟.ɢɘ/)
	 n. brick
aalgladooee (/ʌ̞ːʟ̠̆.ɟɺ̢ɶ̆.ɖɪ̈.œː/)
	 n. thumb
aalgulool (/ʌ̞ːʟ̠̆.ɟɘ̆.ɺ̢ɤ̞ːʎ̯/)
	 n. ball
a (/ɐ̆/)
	 n. desire
alii (/ɐ̆.ɺyː/)
	 n. fight
alaaaa (/ɐ̆.ɺ̢ɶː.äː/)
	 n. summer
alagadob (/ɐ̆.ʎ̯ä.ɢɜ.dɤb/)
	 n. representative
aldoooo (/ɐ̆ʟ̠̆.dɪ̈ː/)
	 n. look
alild (/ɐ.ɺ̢y̆ɺ̢ɖ/)
	 n. brother
alaabeldloa (/ɐ.ɺ̢œ̞ː.b̪øʎ̯.dʟ̠̆ɯ̞œ̞̯/)
	 n. town
al (/ɐʎ̯/)
	 n. increase
alo (/ɐ.ʎ̯ɤ̞/)
	 n. flag
alulb (/ɐ.ʟ̠̆ɘɺ̢b̪/)
	 n. night
alaalb (/ɐ.ʟ̠̆ʌ̞ːʎ̯b/)
	 n. horn
aaree (/ɐː.ⱱ̟ø̞ː/)
	 n. hour
aad (/ɐːɖ/)
	 n. sleep
aadroooolalel (/ɐː.ɖⱱ̟ɪ̈ː.ʟ̠̆ɜ.ʎ̯ø̞̆ɺ̢/)
	 n. screw
a (/œ̞̆/)
	 n. dust
aldaleeblal (/œ̞̆ʟ̠̆.dä.ɺø̞ː.b̪ʎ̯ɐɺ/)
	 n. tooth
a (/œ̞/)
	 n. shirt
ar (/œ̞ⱱ̟/)
	 n. memory
aroaldaalii (/œ̞.ⱱ̟ɯ̞œ̞̯ɺ̢.dɶː.ɺ̢yːʏ̟ː̯/)
	 n. girl
ablaal (/œ̞.b̪ɺœ̞ːʟ̠̆/)
	 n. salt
adoob (/œ̞.ɖɯb/)
	 n. name
aa (/œ̞ː/)
	 n. foot
aabe (/œ̞ː.bø̞/)
	 n. organization
aarbleebaaral (/œ̞ːⱱ̟.bɺ̢øː.bœ̞ː.ⱱ̟ʌ̞̆ɺ̢/)
	 n. spoon
aabeeli (/œ̞ː.b̪øː.ʟ̠̆y/)
	 n. wool
aalbalgooldralg (/œ̞ːɺ̢.b̪œ̞̆ʟ̠̆.ɟɤːʟ̠̆.ɖⱱ̟ʌ̞̆ʟ̠̆ɢ/)
	 n. join
aalaroooolee (/œ̞ː.ɺ̢ɐ.ⱱ̟ɪ̈ː.ʟ̠̆ø̞ː/)
	 n. cat
aaleeloo (/œ̞ː.ʟ̠̆ø̞ː.ʟ̠̆ɯ̞ː/)
	 n. feather
a (/ɑ̆/)
	 n. taste
	 n. theory
abula (/ɑ̆.bɘ.ɺœ̞/)
	 n. river
araaloooooo (/ɑ̆.ⱱ̟äː.ɺ̢ɤ̞ː.ɨː/)
	 n. wine
ado (/ɑ̆.dɤ̞̆/)
	 n. value
aldeldi (/ɑ̆ɺ.dø̞ɺ̢.dʏ̟̆/)
	 n. behavior
aglaag (/ɑ̆.ɢɺ̢œ̞ːɟ/)
	 n. system
ar (/ɑⱱ̟/)
	 n. rub
arooullaald (/ɑ.ⱱ̟ɪ̈.ə.ʟ̠̆ʟ̠̆äːʎ̯ɖ/)
	 n. stocking
arerdead (/ɑ.ⱱ̟œ̆ⱱ̟.ɖø̞.ɶ̆ɖ/)
	 n. shake
aldaaooag (/ɑɺ.däː.ɯ̞ː.ɜɟ/)
	 n. food
adood (/ɑ.ɖʌːɖ/)
	 n. engine
al (/ɑɺ̢/)
	 n. map
alaelgrag (/ɑ.ɺ̢œ̞̆ø̞̯̆ʟ̠̆.ɢⱱ̟ɜ̆ɟ/)
	 n. advertisement
aglael (/ɑ.ɟʟ̠̆œ̞̆ø̞̯̆ɺ̢/)
	 n. jelly
aodooooga (/ɑ.ɤ̞.ɖɨː.ɟɶ̆/)
	 n. rhythm
aab (/ɑːb/)
	 n. iron
aallulag (/ɑː.ɺɺ̢ɘ.ʎ̯ɑ̆ɢ/)
	 n. arch
aalbrag (/ɑːʟ̠̆.b̪ⱱ̟ʌ̞̆ɢ/)
	 n. line
ablirar (/ä̆.bɺ̢y̆.ⱱ̟äⱱ̟/)
	 n. neck
adlaaba (/ä̆.dɺɐː.b̪ɶ̆/)
	 n. scissors
albal (/ä̆ɺ.b̪ɑ̆ɺ/)
	 n. breath
alulaag (/ä̆.ɺ̢ə̆.ʎ̯ɑːɢ/)
	 n. decision
alo (/ä̆.ʎ̯ɯ̞/)
	 n. stamp
agii (/ä̆.ɢyːʏ̟ː̯/)
	 n. trousers
a (/ä/)
	 n. approval
	 n. cloud
	 n. size
algaalaallaab (/äʎ̯.ɢäː.ɺäː.ʎ̯ɺɶːb̪/)
	 n. bone
al (/äʟ̠̆/)
	 n. invention
ae (/ä.œ̆/)
	 n. rat
aa (/äː/)
	 n. wound
aaraaged (/äː.ⱱ̟ɜː.ɢød/)
	 n. self
aaldergla (/äːɺ̢.ɖœ̆ⱱ̟.ɟɺɜ̆/)
	 n. sneeze
aaooe (/äː.ɪ̈.ø̞/)
	 n. grass
abadaii (/ɶ̆.bɜ̆.dɑ̆.ʏ̟ː/)
	 n. shoe
aril (/ɶ̆.ⱱ̟yɺ̢/)
	 n. wave
adiioo (/ɶ̆.dyːʏ̟ː̯.ɯ̞ː/)
	 n. care
aldaalbarle (/ɶ̆ɺ̢.ɖœ̞ːʎ̯.bɑ̆.ⱱ̟ʟ̠̆ø̞/)
	 n. print
algoooolba (/ɶ̆ʎ̯.ɢɨːɺ.b̪ɑ̆/)
	 n. flame
ag (/ɶ̆ɢ/)
	 n. nut
aigeelug (/ɶ̆.y.ɢœː.ɺ̢ɘ̆ɢ/)
	 n. discussion
ar (/ɶⱱ̟/)
	 n. level
alloolool (/ɶ.ɺɺɯ̆.ɺ̢ʌːʎ̯/)
	 n. leather
aligegliir (/ɶ.ʟ̠̆y.ɢø̞.ɟɺ̢yːⱱ̟/)
	 n. place
aa (/ɶː/)
	 n. pen
	 n. sugar
aaolb (/ɶː.ʌ̆ɺ̢b̪/)
	 n. sand
iir (/yʏ̟̯ⱱ̟/)
	 n. jewel
iildaag (/yʏ̟̯ɺ̢.dɜːɟ/)
	 n. brain
iig (/yʏ̟̯ɢ/)
	 n. transport
iiglura (/yʏ̟̯.ɢɺ̢ɘ̆.ⱱ̟ɶ/)
	 n. fish
iid (/yːʏ̟ː̯d/)
	 n. carriage
iilbo (/yːʏ̟ː̯ɺ.b̪ɯ̞/)
	 n. shame
iildlulerag (/yːʏ̟ː̯ɺ.ɖɺ̢ə̆.ʎ̯ø̞.ⱱ̟ä̆ɟ/)
	 n. cheese
iidloorro (/yːʏ̟ː̯.ɖʎ̯ɯ̆.ⱱ̟ⱱ̟ɤ̞̆/)
	 n. law
iiloooor (/yːʏ̟ː̯.ʎ̯ɨːⱱ̟/)
	 n. paste
iilug (/yːʏ̟ː̯.ʎ̯ɘɢ/)
	 n. bed
iialdoraa (/yːʏ̟ː̯.ʌ̞̆ɺ̢.ɖɯ̞̆.ⱱ̟ʌ̞ː/)
	 n. comb
oardalurbloo (/ɯ̞œ̞̯ⱱ̟.ɖɐ̆.ɺ̢ə̆ⱱ̟.bɺ̢ʌː/)
	 n. form
oab (/ɯ̞œ̞̯b̪/)
	 n. curtain
oag (/ɯ̞œ̞̯ɢ/)
	 n. horse
oagliilluulo (/ɯ̞œ̞̯.ɢɺyː.ɺ̢ʎ̯əː.ʎ̯ɤ̞/)
	 n. glass
oalu (/ɯ̞œ̞̯.ʟ̠̆ɘ̆/)
	 n. art
oaooloog (/ɯ̞œ̞̯.ɯ̆.ʟ̠̆ɤːɢ/)
	 n. bell
oaireg (/ɯ̞œ̞̯.y.ⱱ̟ø̆ɟ/)
	 n. star
oauuaad (/ɯ̞œ̞̯.ɘː.ɜːɖ/)
	 n. control
aebloooo (/œ̞̆ø̞̯̆.bʎ̯ɯː/)
	 n. swim
aebee (/œ̞̆ø̞̯̆.bøː/)
	 n. end
aebob (/œ̞̆ø̞̯̆.b̪ʌ̆b/)
	 n. wheel
aelegoordaa (/œ̞̆ø̞̯̆.ɺœ.ɟɨ̆ⱱ̟.ɖœ̞ː/)
	 n. curve
aeliila (/œ̞̆ø̞̯̆.ɺ̢ʏ̟ː.ʎ̯ɜ/)
	 n. whip
aelilulal (/œ̞̆ø̞̯̆.ʟ̠̆ʏ̟̆.ʎ̯ɘ̆.ɺ̢ɐ̆ɺ/)
	 n. substance
aeadolgold (/œ̞̆ø̞̯̆.ɑ.ɖʌʟ̠̆.ɢɤ̞ʟ̠̆ɖ/)
	 n. digestion
